L,arrival_ms,beat,ctx,done_ms,inject_offset_ms,latency_ms,miss,rel_to_injection_ms,sid
3072,17280.0,36,5512,17330.58,120,50.58,0,2280.0,0
3072,17760.0,37,5527,17832.82,120,72.82,0,2760.0,0
3072,13920.0,29,2366,13965.88,240,45.88,0,-1200.0,0
3072,14400.0,30,2375,14425.41,240,25.41,0,-720.0,0
3072,14880.0,31,2384,14905.42,240,25.42,0,-240.0,0
3072,15360.0,32,5467,15403.1,240,43.1,0,240.0,0
3072,15840.0,33,5478,15883.12,240,43.12,0,720.0,0
3072,16320.0,34,5490,16370.54,240,50.54,0,1200.0,0
3072,16800.0,35,5500,16835.76,240,35.76,0,1680.0,0
3072,17280.0,36,5512,17330.58,240,50.58,0,2160.0,0
3072,17760.0,37,5527,17832.82,240,72.82,0,2640.0,0
3072,13920.0,29,2366,13965.88,360,45.88,0,-1320.0,0
3072,14400.0,30,2375,14425.41,360,25.41,0,-840.0,0
3072,14880.0,31,2384,14905.42,360,25.42,0,-360.0,0
3072,15360.0,32,5467,15513.68,360,153.68,0,120.0,0
3072,15840.0,33,5478,15883.12,360,43.12,0,600.0,0
3072,16320.0,34,5490,16370.54,360,50.54,0,1080.0,0
3072,16800.0,35,5500,16835.76,360,35.76,0,1560.0,0
3072,17280.0,36,5512,17330.58,360,50.58,0,2040.0,0
3072,17760.0,37,5527,17832.82,360,72.82,0,2520.0,0
3072,13920.0,29,2366,13965.88,470,45.88,0,-1430.0,0
3072,14400.0,30,2375,14425.41,470,25.41,0,-950.0,0
3072,14880.0,31,2384,14905.42,470,25.42,0,-470.0,0
3072,15360.0,32,5467,15623.68,470,263.68,0,10.0,0
3072,15840.0,33,5478,15883.12,470,43.12,0,490.0,0
3072,16320.0,34,5490,16370.54,470,50.54,0,970.0,0
3072,16800.0,35,5500,16835.76,470,35.76,0,1450.0,0
3072,17280.0,36,5512,17330.58,470,50.58,0,1930.0,0
3072,17760.0,37,5527,17832.82,470,72.82,0,2410.0,0
4096,13920.0,29,2366,13965.88,5,45.88,0,-965.0,0
4096,14400.0,30,2375,14425.41,5,25.41,0,-485.0,0
4096,14880.0,31,2384,14905.42,5,25.42,0,-5.0,0
4096,15360.0,32,6491,15404.8,5,44.8,0,475.0,0
4096,15840.0,33,6502,15884.82,5,44.82,0,955.0,0
4096,16320.0,34,6514,16372.41,5,52.41,0,1435.0,0
4096,16800.0,35,6524,16837.27,5,37.27,0,1915.0,0
4096,17280.0,36,6536,17332.45,5,52.45,0,2395.0,0
4096,17760.0,37,6551,17835.23,5,75.23,0,2875.0,0
4096,13920.0,29,2366,13965.88,120,45.88,0,-1080.0,0
4096,14400.0,30,2375,14425.41,120,25.41,0,-600.0,0
4096,14880.0,31,2384,14905.42,120,25.42,0,-120.0,0
4096,15360.0,32,6491,15404.8,120,44.8,0,360.0,0
4096,15840.0,33,6502,15884.82,120,44.82,0,840.0,0
4096,16320.0,34,6514,16372.41,120,52.41,0,1320.0,0
4096,16800.0,35,6524,16837.27,120,37.27,0,1800.0,0
4096,17280.0,36,6536,17332.45,120,52.45,0,2280.0,0
4096,17760.0,37,6551,17835.23,120,75.23,0,2760.0,0
4096,13920.0,29,2366,13965.88,240,45.88,0,-1200.0,0
4096,14400.0,30,2375,14425.41,240,25.41,0,-720.0,0
4096,14880.0,31,2384,14905.42,240,25.42,0,-240.0,0
4096,15360.0,32,6491,15459.72,240,99.72,0,240.0,0
4096,15840.0,33,6502,15884.82,240,44.82,0,720.0,0
4096,16320.0,34,6514,16372.41,240,52.41,0,1200.0,0
4096,16800.0,35,6524,16837.27,240,37.27,0,1680.0,0
4096,17280.0,36,6536,17332.45,240,52.45,0,2160.0,0
4096,17760.0,37,6551,17835.23,240,75.23,0,2640.0,0
4096,13920.0,29,2366,13965.88,360,45.88,0,-1320.0,0
4096,14400.0,30,2375,14425.41,360,25.41,0,-840.0,0
4096,14880.0,31,2384,14905.42,360,25.42,0,-360.0,0
4096,15360.0,32,6491,15579.72,360,219.72,0,120.0,0
4096,15840.0,33,6502,15884.82,360,44.82,0,600.0,0
4096,16320.0,34,6514,16372.41,360,52.41,0,1080.0,0
4096,16800.0,35,6524,16837.27,360,37.27,0,1560.0,0
4096,17280.0,36,6536,17332.45,360,52.45,0,2040.0,0
4096,17760.0,37,6551,17835.23,360,75.23,0,2520.0,0
4096,13920.0,29,2366,13965.88,470,45.88,0,-1430.0,0
4096,14400.0,30,2375,14425.41,470,25.41,0,-950.0,0
4096,14880.0,31,2384,14905.42,470,25.42,0,-470.0,0
4096,15360.0,32,6491,15689.72,470,329.72,0,10.0,0
4096,15840.0,33,6502,15884.82,470,44.82,0,490.0,0
4096,16320.0,34,6514,16372.41,470,52.41,0,970.0,0
4096,16800.0,35,6524,16837.27,470,37.27,0,1450.0,0
4096,17280.0,36,6536,17332.45,470,52.45,0,1930.0,0
4096,17760.0,37,6551,17835.23,470,75.23,0,2410.0,0
5120,13920.0,29,2366,13965.88,5,45.88,0,-965.0,0
5120,14400.0,30,2375,14425.41,5,25.41,0,-485.0,0
5120,14880.0,31,2384,14905.42,5,25.42,0,-5.0,0
5120,15360.0,32,7515,15406.49,5,46.49,0,475.0,0
5120,15840.0,33,7526,15886.51,5,46.51,0,955.0,0
5120,16320.0,34,7538,16374.28,5,54.28,0,1435.0,0
5120,16800.0,35,7548,16838.79,5,38.79,0,1915.0,0
5120,17280.0,36,7560,17334.32,5,54.32,0,2395.0,0
5120,17760.0,37,7575,17837.63,5,77.63,0,2875.0,0
5120,13920.0,29,2366,13965.88,120,45.88,0,-1080.0,0
5120,14400.0,30,2375,14425.41,120,25.41,0,-600.0,0
5120,14880.0,31,2384,14905.42,120,25.42,0,-120.0,0
5120,15360.0,32,7515,15458.88,120,98.88,0,360.0,0
5120,15840.0,33,7526,15886.51,120,46.51,0,840.0,0
5120,16320.0,34,7538,16374.28,120,54.28,0,1320.0,0
5120,16800.0,35,7548,16838.79,120,38.79,0,1800.0,0
5120,17280.0,36,7560,17334.32,120,54.32,0,2280.0,0
5120,17760.0,37,7575,17837.63,120,77.63,0,2760.0,0
5120,13920.0,29,2366,13965.88,240,45.88,0,-1200.0,0
5120,14400.0,30,2375,14425.41,240,25.41,0,-720.0,0
5120,14880.0,31,2384,14905.42,240,25.42,0,-240.0,0
5120,15360.0,32,7515,15578.88,240,218.88,0,240.0,0
5120,15840.0,33,7526,15886.51,240,46.51,0,720.0,0
5120,16320.0,34,7538,16374.28,240,54.28,0,1200.0,0
5120,16800.0,35,7548,16838.79,240,38.79,0,1680.0,0
5120,17280.0,36,7560,17334.32,240,54.32,0,2160.0,0
5120,17760.0,37,7575,17837.63,240,77.63,0,2640.0,0
5120,13920.0,29,2366,13965.88,360,45.88,0,-1320.0,0
5120,14400.0,30,2375,14425.41,360,25.41,0,-840.0,0
5120,14880.0,31,2384,14905.42,360,25.42,0,-360.0,0
5120,15360.0,32,7515,15698.88,360,338.88,0,120.0,0
5120,15840.0,33,7526,15886.51,360,46.51,0,600.0,0
5120,16320.0,34,7538,16374.28,360,54.28,0,1080.0,0
5120,16800.0,35,7548,16838.79,360,38.79,0,1560.0,0
5120,17280.0,36,7560,17334.32,360,54.32,0,2040.0,0
5120,17760.0,37,7575,17837.63,360,77.63,0,2520.0,0
5120,13920.0,29,2366,13965.88,470,45.88,0,-1430.0,0
5120,14400.0,30,2375,14425.41,470,25.41,0,-950.0,0
5120,14880.0,31,2384,14905.42,470,25.42,0,-470.0,0
5120,15360.0,32,7515,15808.88,470,448.88,0,10.0,0
5120,15840.0,33,7526,15886.51,470,46.51,0,490.0,0
5120,16320.0,34,7538,16374.28,470,54.28,0,970.0,0
5120,16800.0,35,7548,16838.79,470,38.79,0,1450.0,0
5120,17280.0,36,7560,17334.32,470,54.32,0,1930.0,0
5120,17760.0,37,7575,17837.63,470,77.63,0,2410.0,0
6144,13920.0,29,2366,13965.88,5,45.88,0,-965.0,0
6144,14400.0,30,2375,14425.41,5,25.41,0,-485.0,0
6144,14880.0,31,2384,14905.42,5,25.42,0,-5.0,0
6144,15360.0,32,8539,15460.96,5,100.96,0,475.0,0
6144,15840.0,33,8550,15888.19,5,48.19,0,955.0,0
